"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1983","FN","1984","FN","1985","FN","1986","FN","1987","FN","1988","FN","1989","FN","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN","2017","FN"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_DAY1","SD","Proportion of population below the international poverty line of US$1.90 per day","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.00","10, 70","","","","","","","","","","","","","","","","","","","","","","","","","","","10.70","24, 70","","","","","","","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","","MDG_WORLD","World","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.92","M, 11, 72","33.04","M, 12, 72","32.00","M, 13, 72","29.66","M, 14, 72","27.03","M, 15, 72","24.80","M, 16, 72","23.86","M, 17, 72","22.40","M, 18, 72","22.04","M, 19, 72","21.18","M, 20, 72","20.22","M, 21, 72","18.26","M, 22, 72","17.08","M, 23, 72","16.45","M, 24, 72","15.87","M, 25, 72","15.51","M, 26, 72","15.10","M, 27, 72","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","","MDG_WORLD","World","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.22","M, 11, 72","34.10","M, 12, 72","32.77","M, 13, 72","30.12","M, 14, 72","27.23","M, 15, 72","24.82","M, 16, 72","23.87","M, 17, 72","22.37","M, 18, 72","21.83","M, 19, 72","20.84","M, 20, 72","19.84","M, 21, 72","18.04","M, 22, 72","16.98","M, 23, 72","16.37","M, 24, 72","15.83","M, 25, 72","15.54","M, 26, 72","15.18","M, 27, 72","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","","MDG_WORLD","World","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.03","M, 11, 72","32.32","M, 12, 72","31.48","M, 13, 72","29.35","M, 14, 72","26.90","M, 15, 72","24.78","M, 16, 72","23.86","M, 17, 72","22.43","M, 18, 72","22.18","M, 19, 72","21.41","M, 20, 72","20.47","M, 21, 72","18.40","M, 22, 72","17.15","M, 23, 72","16.50","M, 24, 72","15.89","M, 25, 72","15.49","M, 26, 72","15.04","M, 27, 72","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","","MDG_WORLD","World","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.48","M, 11, 72","26.50","M, 12, 72","25.22","M, 13, 72","22.80","M, 14, 72","20.53","M, 15, 72","18.69","M, 16, 72","17.97","M, 17, 72","16.66","M, 18, 72","16.35","M, 19, 72","15.51","M, 20, 72","14.62","M, 21, 72","12.89","M, 22, 72","11.77","M, 23, 72","11.14","M, 24, 72","10.61","M, 25, 72","10.25","M, 26, 72","9.87","M, 27, 72","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","","MDG_WORLD","World","","","","Annual","Not available","15 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.28","M, 11, 72","27.12","M, 12, 72","25.67","M, 13, 72","23.00","M, 14, 72","20.55","M, 15, 72","18.62","M, 16, 72","17.80","M, 17, 72","16.44","M, 18, 72","15.98","M, 19, 72","15.00","M, 20, 72","14.05","M, 21, 72","12.53","M, 22, 72","11.58","M, 23, 72","11.00","M, 24, 72","10.56","M, 25, 72","10.26","M, 26, 72","9.93","M, 27, 72","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","","MDG_WORLD","World","","","","Annual","Not available","15 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.94","M, 11, 72","26.10","M, 12, 72","24.92","M, 13, 72","22.67","M, 14, 72","20.52","M, 15, 72","18.74","M, 16, 72","18.08","M, 17, 72","16.80","M, 18, 72","16.60","M, 19, 72","15.84","M, 20, 72","14.99","M, 21, 72","13.12","M, 22, 72","11.90","M, 23, 72","11.23","M, 24, 72","10.65","M, 25, 72","10.25","M, 26, 72","9.84","M, 27, 72","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","","MDG_WORLD","World","","","","Annual","Not available","25 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.95","M, 11, 72","24.97","M, 12, 72","23.65","M, 13, 72","21.23","M, 14, 72","19.05","M, 15, 72","17.31","M, 16, 72","16.66","M, 17, 72","15.40","M, 18, 72","15.14","M, 19, 72","14.34","M, 20, 72","13.50","M, 21, 72","11.84","M, 22, 72","10.77","M, 23, 72","10.17","M, 24, 72","9.68","M, 25, 72","9.34","M, 26, 72","8.99","M, 27, 72","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","","MDG_WORLD","World","","","","Annual","Not available","25 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.60","M, 11, 72","25.45","M, 12, 72","24.00","M, 13, 72","21.35","M, 14, 72","19.02","M, 15, 72","17.21","M, 16, 72","16.44","M, 17, 72","15.13","M, 18, 72","14.72","M, 19, 72","13.78","M, 20, 72","12.89","M, 21, 72","11.46","M, 22, 72","10.56","M, 23, 72","10.02","M, 24, 72","9.62","M, 25, 72","9.35","M, 26, 72","9.05","M, 27, 72","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","","MDG_WORLD","World","","","","Annual","Not available","25 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.52","M, 11, 72","24.66","M, 12, 72","23.43","M, 13, 72","21.15","M, 14, 72","19.07","M, 15, 72","17.38","M, 16, 72","16.80","M, 17, 72","15.57","M, 18, 72","15.41","M, 19, 72","14.70","M, 20, 72","13.90","M, 21, 72","12.09","M, 22, 72","10.91","M, 23, 72","10.27","M, 24, 72","9.72","M, 25, 72","9.34","M, 26, 72","8.95","M, 27, 72","",""
